slug,first_time,cur_month,index,comments,amounts
Blosc,,NaT,0,0.0,0.0
Blosc,,NaT,1,0.0,0.0
Blosc,,NaT,2,0.0,0.0
Blosc,2019-12-04,2020-03,3,0.0,2.0
Blosc,,NaT,4,0.0,0.0
Blosc,,NaT,5,0.0,0.0
Blosc,,NaT,6,0.0,0.0
boardgameio,,NaT,0,0.0,0.0
boardgameio,,NaT,1,0.0,0.0
boardgameio,,NaT,2,0.0,0.0
boardgameio,,NaT,3,0.0,0.0
boardgameio,,NaT,4,0.0,0.0
boardgameio,,NaT,5,0.0,0.0
boardgameio,,NaT,6,0.0,0.0
bokeh,2024-12-30,2024-12,0,29.0,28.0
bokeh,,NaT,1,0.0,0.0
bokeh,,NaT,2,0.0,0.0
bokeh,,NaT,3,0.0,0.0
bokeh,,NaT,4,0.0,0.0
bokeh,,NaT,5,0.0,0.0
bokeh,,NaT,6,0.0,0.0
bonfire-networks,,NaT,0,0.0,0.0
bonfire-networks,,NaT,1,0.0,0.0
