slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention,commits_count_log,commits_count_scaled,releases_count_log,releases_count_scaled,pulls_count_log,pulls_count_scaled,discussions_count_log,discussions_count_scaled,amounts_log,amounts_scaled
crewdevio,2020/7/10,Jun-20,-1,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Jul-20,0,1,1,0,0,0,0,1,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
crewdevio,2020/7/10,Aug-20,1,0,0,0,0,0,0,1,1,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Sep-20,2,0,0,0,0,0,0,1,2,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Oct-20,3,0,0,0,0,0,0,1,3,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Nov-20,4,0,0,0,0,0,0,1,4,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Dec-20,5,0,0,0,0,0,0,1,5,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Jan-21,6,0,0,0,0,0,0,1,6,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,Mar-22,-6,0,0,1,0,0,0,0,0,0.4054651081081644,0.3903160157913718,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,Apr-22,-5,0,0,4,0,0,0,0,0,1.504077396776274,1.297416996214541,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,May-22,-4,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,Jun-22,-3,0,0,2,0,0,0,0,0,0.916290731874155,0.8120939523054161,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,Jul-22,-2,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,Aug-22,-1,0,0,2,0,0,0,0,0,0.916290731874155,0.8120939523054161,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,Sep-22,0,5,4,0,0,0,0,1,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,1.504077396776274,2.2892680134029746
cristianbote,2022/9/5,Oct-22,1,21,8,0,0,0,0,1,1,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,2.1400661634962708,3.1002009628960017
cristianbote,2022/9/5,Nov-22,2,3,2,2,0,0,0,1,2,0.916290731874155,0.8120939523054161,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.916290731874155,1.5397963265050851
cristianbote,2022/9/5,Dec-22,3,0,0,0,0,0,0,1,3,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cristianbote,2022/9/5,Jan-23,4,4,2,0,0,0,0,1,4,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.916290731874155,1.5397963265050851
cristianbote,2022/9/5,Feb-23,5,8,3,2,0,0,0,1,5,0.916290731874155,0.8120939523054161,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,1.252762968495368,1.9688234375859397
cristianbote,2022/9/5,Mar-23,6,0,0,0,0,0,0,1,6,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
criticalmaps,2015/2/19,Aug-14,-6,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
criticalmaps,2015/2/19,Sep-14,-5,0,0,0,1,0,0,0,0,-0.6931471805599453,-0.5167849646317973,0.4054651081081644,2.2573551389722204,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
criticalmaps,2015/2/19,Oct-14,-4,0,0,0,1,0,0,0,0,-0.6931471805599453,-0.5167849646317973,0.4054651081081644,2.2573551389722204,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
criticalmaps,2015/2/19,Nov-14,-3,0,0,0,1,0,0,0,0,-0.6931471805599453,-0.5167849646317973,0.4054651081081644,2.2573551389722204,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
criticalmaps,2015/2/19,Dec-14,-2,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
criticalmaps,2015/2/19,Jan-15,-1,0,0,0,1,0,0,0,0,-0.6931471805599453,-0.5167849646317973,0.4054651081081644,2.2573551389722204,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
criticalmaps,2015/2/19,Feb-15,0,0,1,0,0,0,0,1,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
criticalmaps,2015/2/19,Mar-15,1,0,0,0,0,0,0,1,1,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
