slug,first_time,cur_month,index,comments,amounts
keras-team,2023-04-01,2023-10,6,0.0,0.0
LeanerCloud,2019-02-15,2019-02,0,0.0,1.0
LeanerCloud,2019-02-15,2019-03,1,11.0,1.0
LeanerCloud,2019-02-15,2019-04,2,0.0,0.0
LeanerCloud,2019-02-15,2019-05,3,0.0,0.0
LeanerCloud,2019-02-15,2019-06,4,19.0,2.0
LeanerCloud,2019-02-15,2019-07,5,0.0,0.0
LeanerCloud,2019-02-15,2019-08,6,0.0,0.0
avajs,2016-01-02,2016-01,0,0.0,1.0
avajs,2016-01-02,2016-02,1,21.0,8.0
avajs,2016-01-02,2016-03,2,0.0,1.0
avajs,2016-01-02,2016-04,3,5.0,5.0
avajs,2016-01-02,2016-05,4,13.0,5.0
avajs,2016-01-02,2016-06,5,1.0,1.0
avajs,2016-01-02,2016-07,6,0.0,0.0
vinta,2024-09-20,2024-09,0,8.0,2.0
vinta,2024-09-20,2024-10,1,12.0,5.0
vinta,2024-09-20,2024-11,2,3.0,3.0
vinta,2024-09-20,2024-12,3,10.0,7.0
vinta,2024-09-20,2025-01,4,7.0,13.0
vinta,2024-09-20,2025-02,5,0.0,0.0
vinta,2024-09-20,2025-03,6,0.0,0.0
HenryQW,2019-08-01,2019-08,0,22.0,1.0
HenryQW,2019-08-01,2019-09,1,0.0,0.0
HenryQW,2019-08-01,2019-10,2,0.0,0.0
HenryQW,2019-08-01,2019-11,3,0.0,0.0
HenryQW,2019-08-01,2019-12,4,0.0,0.0
HenryQW,2019-08-01,2020-01,5,0.0,0.0
HenryQW,2019-08-01,2020-02,6,0.0,0.0
azerothcore,2016-08-17,2016-08,0,2.0,1.0
azerothcore,2016-08-17,2016-09,1,0.0,0.0
azerothcore,2016-08-17,2016-10,2,0.0,0.0
azerothcore,2016-08-17,2016-11,3,0.0,0.0
azerothcore,2016-08-17,2016-12,4,0.0,0.0
azerothcore,2016-08-17,2017-01,5,0.0,0.0
azerothcore,2016-08-17,2017-02,6,0.0,0.0
baby-degu,2020-05-05,2020-05,0,3.0,3.0
baby-degu,2020-05-05,2020-06,1,0.0,9.0
baby-degu,2020-05-05,2020-07,2,0.0,0.0
baby-degu,2020-05-05,2020-08,3,0.0,0.0
baby-degu,2020-05-05,2020-09,4,0.0,0.0
baby-degu,2020-05-05,2020-10,5,0.0,0.0
baby-degu,2020-05-05,2020-11,6,0.0,0.0
babybuddy,2022-02-06,2022-02,0,4.0,1.0
babybuddy,2022-02-06,2022-03,1,0.0,0.0
babybuddy,2022-02-06,2022-04,2,3.0,1.0
babybuddy,2022-02-06,2022-05,3,0.0,0.0
babybuddy,2022-02-06,2022-06,4,0.0,0.0
babybuddy,2022-02-06,2022-07,5,0.0,0.0
babybuddy,2022-02-06,2022-08,6,2.0,1.0
babycastles,2018-12-21,2018-12,0,0.0,2.0
babycastles,2018-12-21,2019-01,1,0.0,0.0
babycastles,2018-12-21,2019-02,2,0.0,0.0
babycastles,2018-12-21,2019-03,3,0.0,0.0
babycastles,2018-12-21,2019-04,4,0.0,0.0
babycastles,2018-12-21,2019-05,5,0.0,0.0
babycastles,2018-12-21,2019-06,6,0.0,0.0
backyourstack,2019-07-04,2019-07,0,3.0,1.0
backyourstack,2019-07-04,2019-08,1,3.0,2.0
backyourstack,2019-07-04,2019-09,2,2.0,2.0
backyourstack,2019-07-04,2019-10,3,1.0,2.0
backyourstack,2019-07-04,2019-11,4,0.0,0.0
backyourstack,2019-07-04,2019-12,5,2.0,1.0
backyourstack,2019-07-04,2020-01,6,0.0,0.0
badgen,2021-11-09,2021-11,0,1.0,3.0
badgen,2021-11-09,2021-12,1,0.0,0.0
badgen,2021-11-09,2022-01,2,0.0,0.0
badgen,2021-11-09,2022-02,3,0.0,1.0
badgen,2021-11-09,2022-03,4,0.0,0.0
badgen,2021-11-09,2022-04,5,0.0,0.0
badgen,2021-11-09,2022-05,6,0.0,1.0
bagisto,2024-11-15,2024-11,0,2.0,5.0
bagisto,2024-11-15,2024-12,1,0.0,7.0
bagisto,2024-11-15,2025-01,2,7.0,18.0
bagisto,2024-11-15,2025-02,3,0.0,0.0
bagisto,2024-11-15,2025-03,4,0.0,0.0
bagisto,2024-11-15,2025-04,5,0.0,0.0
bagisto,2024-11-15,2025-05,6,0.0,0.0
barcamp-events,2020-06-07,2020-06,0,1.0,1.0
barcamp-events,2020-06-07,2020-07,1,0.0,0.0
barcamp-events,2020-06-07,2020-08,2,0.0,0.0
barcamp-events,2020-06-07,2020-09,3,0.0,0.0
barcamp-events,2020-06-07,2020-10,4,0.0,0.0
barcamp-events,2020-06-07,2020-11,5,0.0,0.0
barcamp-events,2020-06-07,2020-12,6,1.0,1.0
bastion-rs,2019-07-22,2019-07,0,4.0,1.0
bastion-rs,2019-07-22,2019-08,1,0.0,0.0
bastion-rs,2019-07-22,2019-09,2,0.0,0.0
bastion-rs,2019-07-22,2019-10,3,4.0,1.0
bastion-rs,2019-07-22,2019-11,4,0.0,0.0
bastion-rs,2019-07-22,2019-12,5,0.0,0.0
bastion-rs,2019-07-22,2020-01,6,0.0,2.0
bcneng,2020-03-30,2020-03,0,0.0,1.0
bcneng,2020-03-30,2020-04,1,0.0,17.0
bcneng,2020-03-30,2020-05,2,0.0,0.0
bcneng,2020-03-30,2020-06,3,0.0,0.0
bcneng,2020-03-30,2020-07,4,0.0,2.0
bcneng,2020-03-30,2020-08,5,0.0,0.0
bcneng,2020-03-30,2020-09,6,0.0,0.0
beaconny-net,2021-09-17,2021-09,0,0.0,2.0
beaconny-net,2021-09-17,2021-10,1,0.0,0.0
beaconny-net,2021-09-17,2021-11,2,0.0,1.0
beaconny-net,2021-09-17,2021-12,3,0.0,0.0
beaconny-net,2021-09-17,2022-01,4,0.0,0.0
