slug,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age,propensity_score
mypaint,22,0,MyPaint,技术型,"mypaint, libmypaint, brush engine, drawing, open source, crossplatform, macos, windows, linux, python, c, documentation, translations, continuous builds, flatpak, debian, appimage",112,16,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0,0.48636313571065704
transmissaopt,29,0,TransMissão,技术型,,31,16,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0,0.581040884433195
keyoxide,23,3,Keyoxide,技术型,"open source, cryptography, decentralized identity, online identity, openpgp",82,17,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.42357479045753477
devscolavlc,26,0,Devscola,技术型,"association, programming school",208,23,Other,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5.0,0.5956320955139446
noble,20,0,noble,技术型,open source,148,12,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.0,0.5685295085460464
vega-strike,13,0,Vega Strike,技术型,"space, open source, 3d, game, upon the coldest sea, vega strike, simulator, flight",108,8,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0,0.6807190436736845
cooperation-brigg,19,1,Cooperation Brigg,公益型,"community food coop, zero waste cafe, food coop, community",99,10,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0,0.48917483506509
animal_rebellion_germany,116,5,Animal Rebellion Deutschland,公益型,"animal rebellion, ar, ar alliance, ar bündnis, ar buendnis, extiction rebellion, xr, climate save, animal save, climate, animals, ar finanzen, ar finance, animal rights, anre, axr, animal rebellion alliance, animal rebellion bündnis, animal rebellion germany, ar germany, animal rebellion deutschland, ar deutschland",94,46,Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,0.4664480254424081
amplitudejs,21,2,AmplitudeJS,技术型,"html5, html5-audio, javascript, mit-license, web-audio, web-audio-library, open source",123,16,US,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,6.0,0.7140895595529645
ferdium,24,1,Ferdium,技术型,"open source, ferdi, ferdium, franz, electron",95,16,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0.44115398975079834
precious-plastic,33,4,Precious Plastic,公益型,"small-scale recycling, movement, plastic pollution, climate change, open source, community, environmental protection",2,1,Other,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2.0,0.4372739633689599
schrodinger-hat,81,0,Schrödinger Hat,技术型,"community, open source, developers",68,62,Other,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0,0.5956596330778464
voxelibre,15,0,VoxeLibre,技术型,"open source, game, voxel, libre software",90,8,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.45958273772790703
bldrweb,20,6,Bldrweb,技术型,"fediverse, mastodon, self-hosted, community, bldrweb",123,12,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,0.6432235378865443
onelitefeather,29,2,OneLiteFeather,技术型,"community, minecraft, programming, server, discord servers, europe, java, minecraft-server, open source",75,22,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.4200515641065717
hala,115,3,halaو,技术型,"art, arts and culture, music, musician, gigs, events, poetry, charity events, community building, newzealand, livemusic",17,42,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0,0.6490794182362509
thessnetmeetup,21,0,Thessaloniki .NET Meetup,技术型,"tech meetups, opencollectiveeu",182,15,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0,0.5664584722222228
jira-cli,24,2,Jira CLI,技术型,"open source, golang, cli, terminal",92,18,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.47122945174874603
openfarm,16,0,Open Farm,公益型,open source,204,11,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9.0,0.4558731179896027
torontojs,22,7,Toronto JavaScript,技术型,"javascript, javascript-applications, web, web-development, softwaredev, functional-programming, open source, front-end-development, html5, meetup, tech meetups",135,17,Other,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,7.0,0.6832078595561355
openrocket,52,5,OpenRocket,技术型,,91,45,US,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.0,0.6659600581654416
endoflife-date,12,0,endoflife.date,技术型,"open source, hacktoberfest",58,7,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0,0.5695249124639408
pandas,31,0,pandas,技术型,open source,104,5,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0,0.4836029975774171
vikunja,23,0,Vikunja,技术型,"task management, to-do, to do, project management",82,20,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0.4298133281726394
vueuse,15,0,VueUse,技术型,"utility-library, vue, vue-composition-api, vue-next, vue-use, open source",88,11,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0,0.4829822731491442
bonfire-networks,33,0,Bonfire Networks,技术型,"social, federated, open source, free software, community development, elixir",127,19,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0,0.49718752731555865
zigtools,23,0,zigtools,技术型,open source,73,14,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.4102516037861913
energy-embargo,53,0,Energy Embargo for Palestine,公益型,,56,24,Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0,0.35843190873057507
vox-pupuli,24,0,Vox Pupuli,技术型,"open source, puppet, ruby, python, golang, configuration-management",84,9,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.41700935871491807
testcontainers,18,0,Testcontainers,技术型,"community, open source",119,13,GB,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,5.0,0.638032250670482
passwordless,9,0,Passwordless.dev,技术型,"asp-net-core, ctap, fido, fido2, net-core, passwordless, webauthn, open source, dotnet, .net",108,6,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5077692771839708
thefridgegb,38,2,The Fridge,公益型,"community fridge, mutual aid, wisconsin, community, food pantry, community pantry, fight hunger, food insecurity, fighting food insecurity, hunger, end hunger, stop hunger, end food insecurity, homeless, homeless support, non-profit, non-profit organization, non-profit organizations, 501c3, charity, volunteering, neighborhood, local",112,28,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,0.49362555454334245
tending-the-garden,32,0,Tending The Garden Inc,公益型,"community, non profit, survivor, mental health and wellbeing",125,27,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,0.47561286494071403
asciidocfx,27,0,AsciidocFX,技术型,"asciidoc, asciidoctor, docbook, java, javafx, javascript, mathjax, plantuml, open source",108,23,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,8.0,0.565168352258416
