slug,name
chicagosolidaritynetwork,Chicago Solidarity Network
omigroup,Open Metaverse Interoperability Group
cronus,Cronus
kefc,Kingston Emergency Food Collaborative
immer,immer
the-point-people,The Point People
ope-worker-center,OPE Worker Center
trans-aid-bristol,Trans Aid Bristol
project-sunrise,Project Sunrise
teahuahu,Ngā Hapū o Te Ahuahu
ethics-public-policy-and-technological-change,"Ethics, Public Policy, and Technological Change Course"
pgmcommunity,Participatory Grantmaking Community
hare,Hare
mediasoup,mediasoup
valley-tenants-union,Valley Tenants Union (formerly Worried About Rent)
erxes,erxes Inc
jrnl,Jrnl
cooperation-milwaukee,Cooperation Milwaukee
fedicat,Fedicat
terser,Terser
weareopen,We Are Open Projects
colly,Colly
masscode,massCode
peachcloud,PeachCloud
the-union-place,The Union Place
ghcup,ghcup
caldergrubhub,CalderGrubHub
visjs,vis.js
girls-kick,Girls Kick
theatlsocial,theATL.social
aid4gaza-programme,Aid4Gaza
independent-solid-test-suite,Independent Solid test suite
capawesome,Capawesome
qmk-firmware,QMK Firmware
alabama-survivors-fund,Alabama Survivors Fund
y-collective,Y-Collective
quiltmc,The Quilt Project
1999collective,1999 Collective
xr-austria,XR Austria 
babashka,babashka
effector,effector — business logic with ease
atom-material-themes-and-plugins,Atom Material Themes & Plugins
hexo,Hexo
zoneminder,Zoneminder
choo,choo
twisted-fields-research-collective,Twisted Fields Research Collective
behind-enemy-lines,Behind Enemy Lines
elm-tooling,Elm Tooling
queerjs,QueerJS
smol-law,Smol Law
electron-react-boilerplate-594,electron-react-boilerplate
dosbox-staging,DOSBox Staging
collectif-vietnam-dioxine,Collectif Vietnam Dioxine
fff_muc,Fridays for Future München
sequoia-fabrica,Sequoia Fabrica
moleculer,moleculer
x-ray,x-ray
soutienuspr,Comité de soutien de l'USPR
brooklyn-transcore,Brooklyn Transcore
dockstarter,DockSTARTer
ukrudt,ukrudt.net
clipy,Clipy
wolvic,Wolvic
m17-project,M17 Project
bundlephobia,bundlephobia
dayjs,Day.js
food4life,Food4Life
solidarity-cafe,Dalston Solidarity Cafe
fernwood-wellness-library,Fernwood Wellness Library
hoodie,Hoodie
christchurchinvitation,Christchurch Invitation
synfig,Synfig
degrowth-aotearoa,Degrowth Aotearoa
onetwoheartu,ONE TWO HEART U
endfossilgent_efg,Encampment Gent
vallejofreestore,Vallejo Free Store
ineos-will-fall,Ineos Will Fall
sunrise-choir,Sunrise Choir
llani-covid-19-mutual-aid-fund,Llanidloes Mutual Aid Fund
allure-report,Allure Report
crossplatformkorea,Cross-Platform Korea
parentsforfuture-uk,Parents For Future UK
portmaster,PortMaster
thelounge,The Lounge
reddthat,Reddthat
ritabot-project,RitaBot Project
xr-barcelona,XR Barcelona
kcanotify,kcanotify
elk,Elk
amberelec,AmberELEC
scenariob,Scénario B
sciences-social,sciences.social
graphql-net,graphql-dotnet
futurovegetal,Futuro Vegetal - Gastos Funcionamiento
purpurmc,PurpurMC
kingfisher,Kingfisher
polybar,polybar
extinction-rebellion-waltham-forest1,Extinction Rebellion Waltham Forest
savemayday,Mayday Space
getferdi,Ferdi
willygmutualaid,Willesden Green Mutual Aid Group
fits,"Cambridge Community Fridge ""Fridge in the Square"""
merveilles,Merveilles
scientist-rebellion-germany,Scientist Rebellion - Germany
west-side-mutual-aid,West Side Mutual Aid
slaaspain,SLAA España
250-pop,Plymouth Octopus (POP)
brusselscoffeeweek,Brussels Coffee Week
direct-funds-for-gaza,Direct Funds for Gaza
delta-chat,Delta Chat collective
eslr,ESLR Collective
veganbrussels,Vegan Brussels
openjscad,OpenJSCAD.org
kent-food-hubs-ashford,Kent Food Hubs Ashford
react-dropzone,react-dropzone
ir-engine,Infinite Reality Engine
spring-street-co-op,Spring Street Co-op
fridaysforfuture-eu,Fridays for Future Europe
dokploy,Dokploy
cosocial,CoSocial
utahmutualaid,Utah Valley Mutual Aid
cods-ccdo,Canadian Open Data Society / Communauté canadienne des données ouvertes
openbeta,OpenBeta
xcodesapp,XcodesApp
the-boco-climate-justice-hive,The BoCo Climate Justice Hive
crow,Crow
ant-design-vue,Ant Design Vue
weberfridge,Weber Fridge
openhd,OpenHD
valley-housing-coop,Valley Housing Cooperative
openapi-directory,openapi-directory
democracynext,DemocracyNext
julialang,Julia Language
wheels-fw,WHEELS.FW
downhamsolidarity,Downham Solidarity Fund
dc-mutual-aid-apothecary,DC Mutual Aid Apothecary
memphis4rs,Memphis 4 Revolutionary Socialism
cloudflarecollective,Cloudflare Collective
lvgl,LVGL
xr-reunion,XR Réunion
kumbiaphp,KumbiaPHP
graphql-compose,graphql-compose
hibiscusrose,The Hibiscus Rose Therapy Fund
jesuisniilee-ma,JeSuisNiiLee Mutual Aid Collective
bftp,Business For The People
marktext,Mark Text
quorum,Quorum
opensourcediversity,Open Source Diversity
elswick-mutual-aid,Elswick Mutual Aid
ubie,UBIE
thetorproject-europe,The Tor Project (€)
xr-kings-lynn-and-west-norfolk,XR King's Lynn & West Norfolk
data-umbrella,Data Umbrella
food-for-the-forest,Food for the Forest
cooperative-vermont-grant-fund,Cooperative Vermont Grant Fund
secdsm,SecDSM
censusreporter,Census Reporter
orangefox,OrangeFox Recovery
wwcodemanila,Women Who Code Manila
we-exist,We Exist
litiengine,LITIENGINE
dbbhma,Downtown Brooklyn Boerum Hill Mutual Aid
what-can-we-do,What Can We Do For Black and Brown Trans People
tabler,Tabler
liquidjs,LiquidJS
q4cj,Queers for Climate Justice
ecorestorationalliance,EcoRestoration Alliance
shared-ground,Shared Ground
quicksilver,Quicksilver
spina,Spina
cooperation-denton,Cooperation Denton
bethesda-african-cemetery,The Bethesda African Cemetery Coalition
project-safe-philly,Project SAFE Philly
bazel-rules-authors-sig,Bazel Rules Authors SIG
advancedfx,advancedfx
leaderboardsgg,Leaderboards.gg
code-settings-sync,Code Settings Sync
boa,Boa
opsdroid,opsdroid
nvim-treesitter,Nvim Treesitter
fossbilling,FOSSBilling
dandeliondiy,Dandelion
hoppscotch,Hoppscotch
lemmyzip,Lemmy.zip
sitespeedio,sitespeed.io
endora,Endora
wp-graphql,WPGraphQL
jest-preview,Jest Preview
hackerspacesg,HackerspaceSG
bcneng,BcnEng
wwcodeatl,Women Who Code Atlanta
nebula,Nebula
swiftwasm,SwiftWasm
patchfox,Patchfox
openletter,openletter
turn-down-for-what-nyc,Turn Down For What NYC
ocma,Orpington Covid-19 Mutual Aid
democracyearth,Democracy Earth Foundation
cockpit,cockpit
urllib3,urllib3
twcita,Tech Workers Coalition Italia
riseforclimatebelgium,Rise for Climate Belgium
selenium,Selenium
meteor-up,meteor-up
f28-studio,L`inventaire
applause-button,Applause Button
mstdnplus,MSTDN+
heart-place-charity-hospital,Heart Place Charity Hospital
reactjs-dallas,ReactJS Dallas
kandc-mutual-aid-uk,K&C Mutual Aid UK
lancaster-and-morecambe-makers,Lancaster and Morecambe Makers
s5s,SheetJS
south-london-love-fundraising,South London Love Fundraising
activitywatch,ActivityWatch
ngxs,NGXS
mhisa-fundraise,MHISA (Mental Health Initiative for South Asians)
systemjs,SystemJS
libpostal,libpostal
react-toolbox,React Toolbox!
animalrebellionitalia,Ribellione Animale
wppconnect,WPPConnect
